,year,age,relig,partyid,income,region,race,hapmar,abdefect,abnomore,abhlth,abpoor,abrape,absingle,abany,childs
1247,1972,68.0,2.0,0.0,,5,1.0,,2.0,1.0,1.0,,1.0,2.0,,3.0
31037,1994,33.0,1.0,2.0,12.0,5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
50404,2006,38.0,1.0,2.0,2.0,7,2.0,,,,,,,,,3.0
34084,1996,77.0,1.0,1.0,9.0,5,1.0,,,,,,,,,2.0
38488,2000,26.0,2.0,2.0,11.0,9,1.0,,,,,,,,,0.0
24889,1989,26.0,1.0,3.0,11.0,8,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
22793,1988,40.0,1.0,4.0,12.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
64359,2018,43.0,2.0,1.0,2.0,7,3.0,,,,,,,,,4.0
30582,1994,43.0,4.0,6.0,12.0,2,1.0,,,,,,,,,3.0
66423,2021,73.0,2.0,2.0,9.0,3,1.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0
54961,2010,62.0,1.0,4.0,10.0,5,1.0,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,8.0
52911,2008,31.0,1.0,5.0,,7,1.0,1.0,,,,,,,,1.0
44343,2004,18.0,2.0,3.0,,7,3.0,,,,,,,,,0.0
63665,2018,41.0,1.0,3.0,10.0,8,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0
1618,1973,41.0,2.0,1.0,9.0,2,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,,3.0
29618,1994,55.0,2.0,,9.0,9,3.0,,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0
51856,2008,35.0,4.0,0.0,12.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
42701,2002,50.0,2.0,6.0,12.0,4,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
67717,2021,33.0,4.0,2.0,12.0,5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7321,1976,62.0,2.0,3.0,9.0,7,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,,7.0
1388,1972,42.0,,3.0,,7,1.0,,,,1.0,1.0,1.0,2.0,,2.0
36229,1998,30.0,1.0,7.0,12.0,8,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
